Date,AMZN,GOOG,X Index
2016-01-01,587,742.95,210
2016-02-01,552.52,697.77,265
2016-03-01,593.64,744.95,134
2016-04-01,659.59,693.01,221
2016-05-01,722.79,735.72,206
2016-06-01,715.62,692.1,188
2016-07-01,758.81,768.79,264
2016-08-01,769.16,767.05,279
2016-09-01,837.31,777.29,237
2016-10-01,789.82,784.54,201
2016-11-01,750.57,758.04,154
2016-12-01,768.66,771.82,189
2017-01-01,823.48,796.79,153
2017-02-01,845.04,823.21,233
2017-03-01,886.54,829.56,229
2017-04-01,924.99,905.96,203
2017-05-01,994.62,964.86,266
2017-06-01,968,908.73,192
2017-07-01,987.78,930.5,251
2017-08-01,980.6,939.33,198
2017-09-01,961.35,959.11,145
2017-10-01,1105.28,1016.64,126
2017-11-01,1176.75,1021.41,106
2017-12-01,1169.47,1046.4,251
2018-01-01,1450.89,1169.94,261
2018-02-01,1512.45,1104.73,216
2018-03-01,1447.34,1031.79,224
2018-04-01,1566.13,1017.33,215
2018-05-01,1629.62,1084.99,115
2018-06-01,1699.8,1115.65,252
2018-07-01,1777.44,1217.26,131
2018-08-01,2012.71,1218.19,156
2018-09-01,2003,1193.47,197
2018-10-01,1598.01,1076.77,111
2018-11-01,1690.17,1094.43,205
2018-12-01,1501.97,1035.61,100
2019-01-01,1718.73,1116.37,166
2019-02-01,1639.83,1119.92,180
2019-03-01,1780.75,1173.31,288
2019-04-01,1926.52,1188.48,283
2019-05-01,1775.07,1103.63,243
2019-06-01,1893.63,1080.91,254
2019-07-01,1866.78,1216.68,214
2019-08-01,1776.29,1188.1,156
2019-09-01,1735.91,1219,188
2019-10-01,1776.66,1260.11,185
2019-11-01,1800.8,1304.96,177
2019-12-01,1847.84,1337.02,215
